id,date,channel,platform,user_id,language,country,product,feedback_text,company,competitor
1,2026-03-01,Social Media,Twitter,u123,en,UK,Mobile Banking,App keeps crashing when I try to login very frustrating!,Main Bank,
2,2026-03-01,App Store,Google Play,u124,tr,TR,Mobile Banking,Uygulama çok hızlı ve kullanımı kolay teşekkürler,Main Bank,
3,2026-03-02,Social Media,Instagram,u125,en,US,Credit Card,Hidden fees are unacceptable very disappointed,Main Bank,
4,2026-03-02,Web,Google Review,u126,en,UK,Customer Service,Customer support was helpful but took too long to respond,Main Bank,
5,2026-03-03,Social Media,Twitter,u127,ar,AE,Mobile Banking,Excellent and very fast service,Main Bank,
6,2026-03-03,Complaint Site,Şikayetvar,u128,tr,TR,Credit Card,Ekstrede yanlış ücretlendirme var çözüm bekliyorum,,Competitor A
7,2026-03-04,App Store,App Store,u129,en,US,Mobile Banking,Clean interface and easy navigation,Main Bank,
8,2026-03-04,Call Center,Voice,u130,tr,TR,Customer Service,Müşteri hizmetine ulaşmak çok zor sürekli bekletiliyorum,,Competitor A
9,2026-03-05,Social Media,Facebook,u131,en,UK,Loan,Loan process is okay but documentation is confusing,Main Bank,
10,2026-03-05,App Store,Google Play,u132,tr,TR,Mobile Banking,Şifremi sıfırlayamıyorum sistem hata veriyor,,Competitor B
